"name","Signature","value","injection","method"
"PD37226j5","SBS88",116.773725709905,"carcinoma","Crypt"
"PD37226j6","SBS88",201.528460085916,"carcinoma","Crypt"
"PD37226j7","SBS88",171.691720207931,"carcinoma","Crypt"
"PD37226j8","SBS88",56.9577311408473,"carcinoma","Crypt"
"PD37226k2","SBS88",20.2165871453595,"carcinoma","Crypt"
"PD37226k5","SBS88",28.1862892182697,"carcinoma","Crypt"
"PD37226k6","SBS88",35.6268181234575,"carcinoma","Crypt"
"PD37226k8","SBS88",0.610457373539467,"carcinoma","Crypt"
"PD37226l5","SBS88",22.5580893292626,"carcinoma","Crypt"
"PD37226l6","SBS88",26.5612560982285,"carcinoma","Crypt"
"PD37226l7","SBS88",33.5832175286665,"carcinoma","Crypt"
"PD37226l8","SBS88",27.4913983728381,"carcinoma","Crypt"
"PD37226m5","SBS88",0,"carcinoma","Crypt"
"PD37226m7","SBS88",0,"carcinoma","Crypt"
"PD37226m8","SBS88",0,"carcinoma","Crypt"
"PD37226o4","SBS88",608.127772312721,"carcinoma","Crypt"
"PD37226o5","SBS88",277.466586253253,"carcinoma","Crypt"
"PD37226p7","SBS88",309.834991519147,"carcinoma","Crypt"
"PD37265b","SBS88",617.891289631141,"carcinoma","Crypt"
"PD37265b7","SBS88",201.975858997638,"carcinoma","Crypt"
"PD37265c2","SBS88",0,"carcinoma","Crypt"
"PD37265c3","SBS88",0,"carcinoma","Crypt"
"PD37265c5","SBS88",104.644046008745,"carcinoma","Crypt"
"PD37265d","SBS88",0,"carcinoma","Crypt"
"PD37265d5","SBS88",0,"carcinoma","Crypt"
"PD37265d8","SBS88",0,"carcinoma","Crypt"
"PD37265e","SBS88",0,"carcinoma","Crypt"
"PD37265e5","SBS88",0,"carcinoma","Crypt"
"PD37265f","SBS88",0,"carcinoma","Crypt"
"PD37265f2","SBS88",0,"carcinoma","Crypt"
"PD37265f4","SBS88",0,"carcinoma","Crypt"
"PD37265g6","SBS88",0,"carcinoma","Crypt"
"PD37265g7","SBS88",0,"carcinoma","Crypt"
"PD37265g8","SBS88",0,"carcinoma","Crypt"
"PD37265h5","SBS88",0,"carcinoma","Crypt"
"PD37265h6","SBS88",42.8433449060564,"carcinoma","Crypt"
"PD37265h8","SBS88",37.7725932622495,"carcinoma","Crypt"
"PD37265i2","SBS88",0,"carcinoma","Crypt"
"PD37265i7","SBS88",0,"carcinoma","Crypt"
"PD37265k","SBS88",0,"carcinoma","Crypt"
"PD37265k2","SBS88",0,"carcinoma","Crypt"
"PD37265k3","SBS88",0,"carcinoma","Crypt"
"PD37265l2","SBS88",0,"carcinoma","Crypt"
"PD37265l6","SBS88",0,"carcinoma","Crypt"
"PD37265m3","SBS88",231.714363632938,"carcinoma","Crypt"
"PD37265m4","SBS88",261.243631748283,"carcinoma","Crypt"
"PD37266b_lo0004","SBS88",0,"normal","Crypt"
"PD37266b_lo0005","SBS88",0,"normal","Crypt"
"PD37266b_lo0006","SBS88",0,"normal","Crypt"
"PD37266b_lo0007","SBS88",0,"normal","Crypt"
"PD37266b_lo0008","SBS88",0,"normal","Crypt"
"PD37266b_lo0017","SBS88",0,"normal","Crypt"
"PD37266b_lo0023","SBS88",0,"normal","Crypt"
"PD37266c_lo0010","SBS88",58.8969206420476,"normal","Crypt"
"PD37266c_lo0012","SBS88",0,"normal","Crypt"
"PD37266c_lo0014","SBS88",0,"normal","Crypt"
"PD37266c_lo0016","SBS88",0,"normal","Crypt"
"PD37266c_lo0018","SBS88",25.6440681148139,"normal","Crypt"
"PD37266c_lo0023","SBS88",0,"normal","Crypt"
"PD37266d_lo0002","SBS88",0,"normal","Crypt"
"PD37266d_lo0010","SBS88",0,"normal","Crypt"
"PD37266d_lo0012","SBS88",0,"normal","Crypt"
"PD37266d_lo0014","SBS88",0,"normal","Crypt"
"PD37266e_lo0008","SBS88",0,"normal","Crypt"
"PD37266e_lo0010","SBS88",0,"normal","Crypt"
"PD37449c_lo0001","SBS88",1333.01821861159,"normal","Crypt"
"PD37449c_lo0009","SBS88",774.742930476576,"normal","Crypt"
"PD37449c_lo0014","SBS88",773.508760954852,"normal","Crypt"
"PD37449c_lo0017","SBS88",708.386860172573,"normal","Crypt"
"PD37449d_lo0001","SBS88",654.38378405692,"normal","Crypt"
"PD37449d_lo0002","SBS88",766.887045280009,"normal","Crypt"
"PD37449d_lo0003","SBS88",623.949933386382,"normal","Crypt"
