"name","Signature","value","injection","method"
"PD37457j7","ID18",0.848180000474515,"carcinoma","Crypt"
"PD37457j8","ID18",0.630574500375014,"carcinoma","Crypt"
"PD37509b8","ID18",0.820379092946097,"normal","Crypt"
"PD37509b9","ID18",0.784013752378222,"normal","Crypt"
"PD37510b4","ID18",0.911519582826281,"normal","Crypt"
"PD37510b7","ID18",0.928458079590157,"normal","Crypt"
"PD37510b8","ID18",0.947776485065443,"normal","Crypt"
"PD37512a11","ID18",0.93339302062936,"normal","Crypt"
"PD37512a4","ID18",0.605832491484533,"normal","Crypt"
"PD37512a5","ID18",0.628550782023291,"normal","Crypt"
"PD37512b7","ID18",0.791056970877108,"normal","Crypt"
"PD37513a13","ID18",0.733845362389564,"normal","Crypt"
"PD37513a2","ID18",0.838898403938915,"normal","Crypt"
"PD37513a20","ID18",0.723472381283045,"normal","Crypt"
"PD37513a21","ID18",0.846251205459615,"normal","Crypt"
"PD37513a3","ID18",0.934661260991155,"normal","Crypt"
"PD37513b5","ID18",0.8276651327138,"normal","Crypt"
"PD37513b7","ID18",0.934796722571608,"normal","Crypt"
"PD37513b8","ID18",0.846757288951331,"normal","Crypt"
"PD37514a","ID18",0.589732246996956,"normal","Crypt"
"PD37514a2","ID18",0.72771862153864,"normal","Crypt"
"PD37514a3","ID18",0.333762162756033,"normal","Crypt"
"PD37514b3","ID18",0.770834223285878,"normal","Crypt"
"PD37514b7","ID18",0.63140553802747,"normal","Crypt"
