"sample","Signature","SBS88_refit_genic","injection","method"
"PD36814d7","SBS88",0,"carcinoma","Crypt"
"PD36814d8","SBS88",0,"carcinoma","Crypt"
"PD36814e5","SBS88",0,"carcinoma","Crypt"
"PD36814e6","SBS88",0,"carcinoma","Crypt"
"PD36814e7","SBS88",0,"carcinoma","Crypt"
"PD36814e8","SBS88",0,"carcinoma","Crypt"
"PD36814f4","SBS88",0,"carcinoma","Crypt"
"PD36814f8","SBS88",0,"carcinoma","Crypt"
"PD36814g4","SBS88",0,"carcinoma","Crypt"
"PD36814g7","SBS88",0,"carcinoma","Crypt"
"PD36814g8","SBS88",0,"carcinoma","Crypt"
"PD36814h2","SBS88",0,"carcinoma","Crypt"
"PD36814h4","SBS88",0,"carcinoma","Crypt"
"PD36814i","SBS88",0,"carcinoma","Crypt"
"PD36814i3","SBS88",0,"carcinoma","Crypt"
"PD36814i4","SBS88",0,"carcinoma","Crypt"
"PD36814k2","SBS88",0,"carcinoma","Crypt"
"PD36814k6","SBS88",0,"carcinoma","Crypt"
"PD36814k7","SBS88",0,"carcinoma","Crypt"
"PD36814k8","SBS88",0,"carcinoma","Crypt"
"PD36814l2","SBS88",0,"carcinoma","Crypt"
"PD36814l4","SBS88",0,"carcinoma","Crypt"
"PD36814l7","SBS88",0,"carcinoma","Crypt"
"PD36814l8","SBS88",0,"carcinoma","Crypt"
"PD36814m5","SBS88",0,"carcinoma","Crypt"
"PD36814m8","SBS88",0.0619857289507235,"carcinoma","Crypt"
"PD37226b5","SBS88",0.425816814219593,"carcinoma","Crypt"
"PD37226b6","SBS88",0.487360199181471,"carcinoma","Crypt"
"PD37226c5","SBS88",0.177745590636291,"carcinoma","Crypt"
"PD37226c6","SBS88",0.260819390695602,"carcinoma","Crypt"
"PD37226c7","SBS88",0.38136777279904,"carcinoma","Crypt"
"PD37226c8","SBS88",0.507041564007673,"carcinoma","Crypt"
"PD37226d4","SBS88",0.0176733311009289,"carcinoma","Crypt"
"PD37226d5","SBS88",0.0765168724269504,"carcinoma","Crypt"
"PD37226d6","SBS88",0,"carcinoma","Crypt"
"PD37226e4","SBS88",0.186719415979539,"carcinoma","Crypt"
"PD37226e5","SBS88",0.116129981099487,"carcinoma","Crypt"
"PD37226f5","SBS88",0.0169697982478597,"carcinoma","Crypt"
"PD37226f6","SBS88",0.019748796661496,"carcinoma","Crypt"
"PD37226f7","SBS88",0,"carcinoma","Crypt"
"PD37226g5","SBS88",0.135964270606472,"carcinoma","Crypt"
"PD37226g6","SBS88",0.129792707892174,"carcinoma","Crypt"
"PD37226g7","SBS88",0.265499072483079,"carcinoma","Crypt"
"PD37226h4","SBS88",0,"carcinoma","Crypt"
"PD37226h7","SBS88",0.0336464580972271,"carcinoma","Crypt"
"PD37226h8","SBS88",0.0284196241385266,"carcinoma","Crypt"
"PD37226i5","SBS88",0,"carcinoma","Crypt"
"PD37226i6","SBS88",0,"carcinoma","Crypt"
"PD37226i7","SBS88",0.00258325672255462,"carcinoma","Crypt"
"PD37226i8","SBS88",0,"carcinoma","Crypt"
"PD37226j4","SBS88",0.0599554432180892,"carcinoma","Crypt"
"PD37226j5","SBS88",0.0751158460384084,"carcinoma","Crypt"
"PD37226j6","SBS88",0.0904935373019389,"carcinoma","Crypt"
"PD37226j7","SBS88",0.0450372113288205,"carcinoma","Crypt"
"PD37226j8","SBS88",0.0264448549891137,"carcinoma","Crypt"
"PD37226k2","SBS88",0,"carcinoma","Crypt"
"PD37226k5","SBS88",0.0280963722317807,"carcinoma","Crypt"
"PD37226k6","SBS88",0.0480141830693461,"carcinoma","Crypt"
"PD37226k8","SBS88",0,"carcinoma","Crypt"
"PD37226l5","SBS88",0.069381548434408,"carcinoma","Crypt"
"PD37226l6","SBS88",0.0552993357987422,"carcinoma","Crypt"
"PD37226l7","SBS88",0.106665215362405,"carcinoma","Crypt"
"PD37226l8","SBS88",0.0462228965325144,"carcinoma","Crypt"
"PD37226m5","SBS88",0,"carcinoma","Crypt"
"PD37226m7","SBS88",0,"carcinoma","Crypt"
"PD37226m8","SBS88",0,"carcinoma","Crypt"
"PD37226o4","SBS88",0.102383713464317,"carcinoma","Crypt"
"PD37226o5","SBS88",0.0633031538924901,"carcinoma","Crypt"
"PD37226p7","SBS88",0.0691491229256662,"carcinoma","Crypt"
"PD37265b","SBS88",0.293693126570302,"carcinoma","Crypt"
"PD37265b7","SBS88",0.136807231401653,"carcinoma","Crypt"
"PD37265c2","SBS88",0,"carcinoma","Crypt"
"PD37265c3","SBS88",0,"carcinoma","Crypt"
"PD37265c5","SBS88",0.0979705508705149,"carcinoma","Crypt"
"PD37265d","SBS88",0,"carcinoma","Crypt"
"PD37265d5","SBS88",0,"carcinoma","Crypt"
"PD37265d8","SBS88",0,"carcinoma","Crypt"
"PD37265e","SBS88",0,"carcinoma","Crypt"
"PD37265e5","SBS88",0,"carcinoma","Crypt"
"PD37265f","SBS88",0,"carcinoma","Crypt"
"PD37265f2","SBS88",0,"carcinoma","Crypt"
"PD37265f4","SBS88",0,"carcinoma","Crypt"
"PD37265g6","SBS88",0,"carcinoma","Crypt"
"PD37265g7","SBS88",0,"carcinoma","Crypt"
"PD37265g8","SBS88",0,"carcinoma","Crypt"
"PD37265h5","SBS88",0,"carcinoma","Crypt"
"PD37265h6","SBS88",0.0191152221589573,"carcinoma","Crypt"
"PD37265h8","SBS88",0.0253977325175233,"carcinoma","Crypt"
"PD37265i2","SBS88",0,"carcinoma","Crypt"
"PD37265i7","SBS88",0,"carcinoma","Crypt"
"PD37265k","SBS88",0,"carcinoma","Crypt"
"PD37265k2","SBS88",0,"carcinoma","Crypt"
"PD37265k3","SBS88",0,"carcinoma","Crypt"
"PD37265l2","SBS88",0,"carcinoma","Crypt"
"PD37265l6","SBS88",0,"carcinoma","Crypt"
"PD37265m3","SBS88",0.0802204312285563,"carcinoma","Crypt"
"PD37265m4","SBS88",0.059034071236785,"carcinoma","Crypt"
"PD37266b_lo0004","SBS88",0,"normal","Crypt"
"PD37266b_lo0005","SBS88",0,"normal","Crypt"
"PD37266b_lo0006","SBS88",0,"normal","Crypt"
"PD37266b_lo0007","SBS88",0,"normal","Crypt"
"PD37266b_lo0008","SBS88",0,"normal","Crypt"
"PD37266b_lo0017","SBS88",0,"normal","Crypt"
"PD37266b_lo0023","SBS88",0,"normal","Crypt"
"PD37266c_lo0010","SBS88",0.0780542609950081,"normal","Crypt"
"PD37266c_lo0012","SBS88",0,"normal","Crypt"
"PD37266c_lo0014","SBS88",0,"normal","Crypt"
"PD37266c_lo0016","SBS88",0.00565523295619244,"normal","Crypt"
"PD37266c_lo0018","SBS88",0.0506471759851796,"normal","Crypt"
"PD37266c_lo0023","SBS88",0,"normal","Crypt"
"PD37266d_lo0002","SBS88",0,"normal","Crypt"
"PD37266d_lo0010","SBS88",0,"normal","Crypt"
"PD37266d_lo0012","SBS88",0,"normal","Crypt"
"PD37266d_lo0014","SBS88",0,"normal","Crypt"
"PD37266e_lo0008","SBS88",0,"normal","Crypt"
"PD37266e_lo0010","SBS88",0,"normal","Crypt"
"PD37449c_lo0001","SBS88",0.840129489718474,"normal","Crypt"
"PD37449c_lo0009","SBS88",0.656996868153114,"normal","Crypt"
"PD37449c_lo0014","SBS88",0.674651337601698,"normal","Crypt"
"PD37449c_lo0017","SBS88",0.679176414368753,"normal","Crypt"
"PD37449d_lo0001","SBS88",0.691172227461353,"normal","Crypt"
"PD37449d_lo0002","SBS88",0.684842976037181,"normal","Crypt"
"PD37449d_lo0003","SBS88",0.666997848741187,"normal","Crypt"
"PD37449d_lo0006","SBS88",0.802150135423099,"normal","Crypt"
"PD37449d_lo0011","SBS88",0.206032864703718,"normal","Crypt"
"PD37449d_lo0012","SBS88",0.373980066826648,"normal","Crypt"
"PD37449d_lo0017","SBS88",0.676669584682841,"normal","Crypt"
"PD37449e_lo0001","SBS88",0,"normal","Crypt"
"PD37449e_lo0002","SBS88",0,"normal","Crypt"
"PD37449e_lo0003","SBS88",0,"normal","Crypt"
"PD37449e_lo0004","SBS88",0,"normal","Crypt"
"PD37449e_lo0006","SBS88",0.118540642074572,"normal","Crypt"
"PD37449e_lo0008","SBS88",0.645798052832209,"normal","Crypt"
"PD37449e_lo0010","SBS88",0.51075831362133,"normal","Crypt"
