"name","total_indels","in_pks_motif","fraction_pksmotif","injection","method"
"PD37590b_lo0015",112,1,0.00892857142857143,"normal","Crypt"
"PD37590b_lo0018",85,8,0.0941176470588235,"normal","Crypt"
"PD37590b_lo0030",104,12,0.115384615384615,"normal","Crypt"
"PD37590b_lo0033",87,4,0.0459770114942529,"normal","Crypt"
"PD37590b_lo0041",97,3,0.0309278350515464,"normal","Crypt"
"PD37590b_lo0051",108,7,0.0648148148148148,"normal","Crypt"
"PD37590b_lo0052",99,7,0.0707070707070707,"normal","Crypt"
"PD37590b_lo0053",112,8,0.0714285714285714,"normal","Crypt"
"PD37590b_lo0058",70,3,0.0428571428571429,"normal","Crypt"
"PD37590b_lo0074",73,5,0.0684931506849315,"normal","Crypt"
"PD37590b_lo0075",130,8,0.0615384615384615,"normal","Crypt"
"PD37590b_lo0090",63,7,0.111111111111111,"normal","Crypt"
"PD37590b_lo0092",113,8,0.0707964601769911,"normal","Crypt"
"PD37590b_lo0107",89,6,0.0674157303370786,"normal","Crypt"
"PD37590b_lo0116",100,9,0.09,"normal","Crypt"
"PD37590b_lo0117",70,4,0.0571428571428571,"normal","Crypt"
"PD37590c_lo0001",94,11,0.117021276595745,"normal","Crypt"
"PD37590c_lo0005",71,2,0.028169014084507,"normal","Crypt"
"PD37590c_lo0009",80,6,0.075,"normal","Crypt"
"PD37590c_lo0019",71,3,0.0422535211267606,"normal","Crypt"
"PD37590c_lo0021",80,5,0.0625,"normal","Crypt"
"PD37590c_lo0025",53,8,0.150943396226415,"normal","Crypt"
"PD37590c_lo0032",105,5,0.0476190476190476,"normal","Crypt"
"PD37590c_lo0034",87,8,0.0919540229885057,"normal","Crypt"
"PD37590c_lo0040",81,5,0.0617283950617284,"normal","Crypt"
"PD37590c_lo0048",70,3,0.0428571428571429,"normal","Crypt"
"PD37590d_lo0012",114,17,0.149122807017544,"normal","Crypt"
